0.079,会上b站
0.081,我先来：会上B站
0.099,会上B站
0.199,我有手的时候也这么玩
0.213,哈切没打出很难受额
0.442,会上b站
0.545,我干过
0.559,红字正确翻译
0.738,这事我也干过哈哈哈哈哈哈
1.095,我经常怎么做
1.176,我以为只有我喜欢这么干
1.376,我也干过
1.379,会给您脸上一巴掌
1.422,awsl
1.422,awsl
1.422,awsl
1.519,我试过，哈哈哈
1.606,会在第一时间甩头并吐出来（自家暖男
1.612,猫:吃吃呢？
1.639,我试过！
1.679,会生气不是吗
1.696,？
1.698,会上B站
1.789,我试过，被咬伤了
1.818,我家猫打哈欠太快了，我没来得及
1.959,我试过！
2.061,小别致长得真东西
2.087,危
2.479,好像个孩子啊
2.499,我也干过
2.519,危
2.539,我以为只有我会干这种事诶！！
2.574,搬运的
2.655,。。
2.703,大局为重
2.719,实不相瞒，我经常这么干
2.739,会死
2.948,猫会吐出来
2.979,会含住
3.016,危
3.178,我试过 金毛挠痒痒的时候把手伸到它挠痒痒的地方 挺疼的 
3.239,我干过
3.447,太乖啦宝贝!
3.461,危
3.482,这个颜色从来没让我失望
3.593,会上b站
3.659,我还真干过
3.71,危
3.752,哈哈哈
3.779,危
3.806,背景音乐似曾相识
3.817,小可爱
3.843,太乖啦
3.882,会很疼！！！别问我为什么会知道
4.234,我有手的时候也这样玩儿
4.255,Stardenburdenhardenbart
4.3,危
4.439,会少一根手指
4.479,猫狗打架是有理由的（狗头）
4.497,awsl
4.564,好乖啊
4.583,很疼
4.639,我也干过，然后猫直接把嘴闭上了
4.698,会用舌头给你推出来
5.069,试了 被咬了
5.359,awsl！
5.406,我家的绝对手指头没了
5.474,危
5.491,AWSL
5.508,大橘为重
5.57,干过
5.65,我试过
5.727,给他快给他，给他吃
5.868,哈哈哈哈我就喜欢这么干
5.939,碰瓷
6.009,啊啊啊好可爱
6.149,会被录下来
6.25,你手没了
6.28,我去试了一下，你要是有良心就来医院看我
6.334,我喜欢揪舌头
6.424,好可爱
6.531,耶
6.628,猫：跟人沾边的事你是一点都不干
6.825,没有你害想白嫖！
6.834,会被做成视频放到b站
6.839,哇好萌
6.84,手指疼因为我也这么干过
6.865,危
6.898,会被咬。
7.052,awsl
7.267,我有手指头时经常这么干
7.278,坏逼
7.281,喵好乖2333
7.31,awsl
7.441,干过
7.485,危
7.504,会上Ｂ战
7.512,会很疼
7.659,你是魔鬼吗？？
7.679,咬人猫233
7.862,长得和我家的猫好像
7.946,萌的不要不要的
8.487,可爱
8.545,纳迪亚之宝？
8.577,会被咬
8.607,你是魔鬼吗
9.039,会被咬 很疼的 我就…呜呜呜
9.048,好可爱
9.078,胆子大了
9.119,我有的时候把猫的头伸到我的嘴里
9.119,我也这么干过
9.21,我对我们家狗这么干过
9.349,好可爱嗷
9.38,耶
9.4,来来来让我亲两口mua!mua!mua!
9.419,干过+1
9.42,你为什么养了一只天使
9.425,啊啊啊啊啊
9.439,一半儿弹幕都被猫挡住了
9.46,大橘为重
9.52,我干过
9.542,危
9.59,我干过很多次
9.669,可可爱爱，没有脑袋
9.754,是海的味道
10.25,太可爱了
10.273,你干了我一直想干的事！！
10.309,本喵不想理你，并向你打了个哈欠
10.376,果然有人跟我一样无聊
10.667,以前经常这么干
10.694,可爱
10.799,又白嫖成功了。
10.818,会少根手指
10.845,危
10.923,这个BGM有点耳熟啊
10.928,会直接被咬
10.933,ahhhhooowowwkkwmm
10.959,我干过，还不止一回
10.966,危
10.994,我经常干这事
11.006,会干呕
11.114,AⅰXⅴ.?? 地球人，都知道，发生什么？
11.236,我每次都会这样干
11.243,好可爱呀
11.396,回味
11.399,白嫖
11.424,会被吃掉
11.5,危
11.56,手指不会断吗，现在作死的方法可真高级
11.564,试过
11.684,给他吃！！
11.692,我就经常干这事哈哈哈
11.699,危
11.776,会上b站
11.801,大橘为重
11.824,是我家猫，一口就下去
11.841,呀～那里不可以～～～
11.951,乖！！！！
12.137,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
12.21,猫:你这手扣过屁股吧（滑稽保命）
12.251,会发到B站
12.253,NANIYA
12.376,危
12.428,会被发到b站
12.529,我试过
12.553,不开心
12.769,好可爱呀啊啊啊啊啊
12.868,这事我干过，很好玩的
12.893,好咸
12.95,经常这样玩
12.964,好漂亮的猫
12.985,我也喜欢。。
